,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
15,-119.81683788935052,38.68069656908938,85.0,122,36,7248.0,274.0,-64.0,338.0,-7.0,192.0,192.0,-7.0,558.0,108.0,8.0,72.0,300.0,27.0,27.0,300.0,0
16,-121.11303994704367,39.1252259467289,145.0,123,38,6545.0,327.0,11.0,316.0,59.0,238.0,238.0,59.0,1229.0,248.0,2.0,84.0,704.0,13.0,13.0,704.0,0
17,-120.89812933080498,41.87420894380726,86.0,116,34,7549.0,289.0,-50.0,339.0,2.0,202.0,202.0,-8.0,434.0,56.0,10.0,38.0,161.0,37.0,37.0,149.0,0
18,-116.37573854172106,32.77889762190144,132.0,128,45,5347.0,287.0,4.0,282.0,71.0,165.0,211.0,64.0,383.0,80.0,2.0,81.0,212.0,14.0,38.0,206.0,0
19,-115.21487207028302,35.04621871451148,164.0,128,35,7979.0,354.0,0.0,355.0,194.0,233.0,276.0,58.0,241.0,33.0,2.0,45.0,93.0,12.0,91.0,76.0,0
20,-123.45415026981584,41.52232994543351,72.0,106,40,5412.0,228.0,-35.0,264.0,4.0,142.0,152.0,4.0,1601.0,293.0,8.0,78.0,873.0,37.0,51.0,873.0,0
21,-121.65722361361615,40.44882322215272,79.0,122,36,7114.0,273.0,-58.0,332.0,-11.0,184.0,184.0,-11.0,996.0,160.0,6.0,64.0,467.0,35.0,35.0,467.0,0
22,-121.54366199691,36.87580816619506,152.0,102,47,3713.0,270.0,54.0,215.0,99.0,201.0,202.0,99.0,372.0,80.0,1.0,92.0,226.0,3.0,3.0,226.0,0
23,-121.84504740035212,38.41085182112627,167.0,117,43,5179.0,321.0,48.0,272.0,95.0,237.0,237.0,95.0,516.0,113.0,0.0,92.0,317.0,2.0,2.0,317.0,0
24,-119.6204911857168,36.173994339862176,194.0,131,41,6396.0,373.0,53.0,320.0,122.0,287.0,287.0,112.0,204.0,40.0,0.0,84.0,113.0,0.0,0.0,108.0,0
25,-119.8642051390605,35.33581344366566,128.0,129,44,5454.0,289.0,-1.0,291.0,66.0,199.0,207.0,57.0,213.0,44.0,0.0,87.0,129.0,2.0,2.0,110.0,0
26,-122.75395586242236,39.96892001774563,69.0,119,40,6033.0,244.0,-53.0,297.0,-9.0,156.0,156.0,-9.0,874.0,164.0,3.0,75.0,462.0,21.0,21.0,462.0,0
27,-121.2270921787052,41.55720176632524,95.0,119,34,7545.0,298.0,-43.0,342.0,11.0,210.0,210.0,0.0,374.0,46.0,7.0,40.0,135.0,30.0,30.0,130.0,0
28,-122.00101969661272,37.205959026243136,117.0,78,47,2879.0,205.0,40.0,165.0,76.0,155.0,155.0,76.0,706.0,156.0,1.0,94.0,445.0,6.0,6.0,445.0,0
29,-120.46562516186894,39.85332222502694,86.0,123,35,7443.0,283.0,-61.0,344.0,-9.0,196.0,196.0,-9.0,840.0,167.0,7.0,78.0,472.0,29.0,29.0,472.0,0
30,-122.50725775744722,41.915558006169086,116.0,119,37,6874.0,307.0,-14.0,322.0,37.0,220.0,220.0,29.0,417.0,71.0,8.0,59.0,203.0,30.0,30.0,202.0,0
31,-121.10994365315766,37.96933810766583,175.0,122,42,5465.0,336.0,50.0,286.0,100.0,250.0,250.0,100.0,383.0,75.0,1.0,83.0,213.0,3.0,3.0,213.0,0
32,-118.6141310784546,34.806827587417224,155.0,126,41,6182.0,323.0,19.0,304.0,84.0,236.0,245.0,76.0,283.0,58.0,1.0,87.0,168.0,3.0,7.0,142.0,0
33,-119.08965853759987,35.728971696435025,197.0,129,39,6754.0,378.0,53.0,325.0,140.0,295.0,295.0,111.0,243.0,43.0,0.0,81.0,128.0,2.0,2.0,119.0,0
34,-114.7456643662047,34.982288336136186,226.0,126,34,8353.0,418.0,54.0,364.0,129.0,300.0,342.0,114.0,145.0,21.0,1.0,52.0,62.0,5.0,50.0,54.0,0
35,-120.08840396478588,37.81882454503178,134.0,122,39,6338.0,310.0,0.0,309.0,53.0,227.0,227.0,53.0,925.0,194.0,2.0,86.0,551.0,7.0,7.0,551.0,0
36,-115.77471462414346,34.61894218296384,227.0,131,36,8000.0,421.0,60.0,360.0,340.0,294.0,340.0,121.0,136.0,21.0,1.0,50.0,58.0,6.0,58.0,43.0,0
37,-117.90162850885592,36.74571053064713,142.0,116,32,8201.0,334.0,-17.0,351.0,46.0,212.0,260.0,35.0,134.0,24.0,3.0,65.0,71.0,11.0,15.0,66.0,0
38,-122.04028906039436,38.12895758564869,162.0,108,44,4555.0,298.0,52.0,245.0,97.0,222.0,222.0,97.0,484.0,106.0,0.0,91.0,299.0,2.0,2.0,299.0,0
39,-120.4227212336496,36.88491450928755,182.0,130,42,5755.0,352.0,49.0,303.0,105.0,258.0,264.0,105.0,237.0,44.0,0.0,83.0,128.0,0.0,1.0,128.0,0
40,-115.9176987826841,32.69108427345091,220.0,136,42,6252.0,394.0,78.0,316.0,140.0,263.0,312.0,140.0,131.0,24.0,1.0,64.0,66.0,4.0,28.0,66.0,0
41,-122.59785299651652,41.22745706525714,72.0,120,37,6684.0,260.0,-59.0,318.0,-13.0,169.0,171.0,-13.0,1089.0,183.0,9.0,71.0,544.0,44.0,45.0,544.0,0
42,-122.4091859347594,38.67794084528899,149.0,112,42,5159.0,300.0,34.0,266.0,78.0,220.0,220.0,78.0,746.0,169.0,1.0,93.0,478.0,5.0,5.0,478.0,0
43,-119.34601835128646,34.92188385639329,142.0,124,43,5585.0,302.0,14.0,287.0,79.0,215.0,224.0,71.0,271.0,53.0,0.0,85.0,156.0,3.0,3.0,137.0,0
44,-119.57846707158876,36.989886247402325,183.0,126,39,6655.0,365.0,43.0,321.0,106.0,281.0,281.0,99.0,493.0,92.0,1.0,83.0,264.0,3.0,3.0,259.0,0
45,-120.27731183870668,41.44764029635412,66.0,116,33,7776.0,270.0,-76.0,347.0,-12.0,185.0,185.0,-32.0,445.0,51.0,10.0,38.0,152.0,37.0,37.0,150.0,0
46,-121.75563883185866,37.52587011201275,117.0,102,46,3879.0,239.0,18.0,221.0,62.0,165.0,169.0,62.0,516.0,98.0,1.0,83.0,279.0,5.0,7.0,279.0,0
47,-116.50142636009306,35.77278935655717,249.0,124,32,8889.0,451.0,70.0,380.0,149.0,326.0,373.0,128.0,94.0,17.0,1.0,63.0,49.0,6.0,20.0,38.0,0
48,-116.65907377552536,33.442624668512934,126.0,129,44,5697.0,287.0,-7.0,294.0,56.0,164.0,210.0,53.0,414.0,79.0,1.0,77.0,223.0,14.0,41.0,220.0,0
49,-117.9294162628918,36.47898005731772,163.0,117,33,8180.0,356.0,5.0,351.0,68.0,229.0,281.0,57.0,159.0,30.0,2.0,72.0,89.0,11.0,16.0,82.0,0
50,-119.5011385593239,36.36231886586493,195.0,130,40,6513.0,375.0,54.0,321.0,121.0,290.0,290.0,111.0,244.0,48.0,0.0,85.0,134.0,0.0,0.0,131.0,0
51,-116.11267765621228,34.633155497419594,212.0,132,36,7870.0,405.0,46.0,358.0,185.0,277.0,323.0,107.0,93.0,12.0,1.0,48.0,36.0,4.0,33.0,35.0,0
52,-115.69208509625778,33.20798034102885,246.0,136,40,6954.0,429.0,94.0,335.0,155.0,298.0,347.0,155.0,63.0,11.0,0.0,59.0,30.0,1.0,19.0,30.0,0
53,-121.33904307044284,41.24548955859723,89.0,120,35,7493.0,290.0,-51.0,342.0,-5.0,202.0,202.0,-5.0,647.0,96.0,6.0,57.0,287.0,29.0,29.0,287.0,0
54,-114.97596527150144,33.49527781710247,235.0,132,38,7417.0,418.0,75.0,343.0,209.0,294.0,339.0,136.0,82.0,13.0,0.0,60.0,34.0,0.0,32.0,33.0,0
55,-122.76207671432664,38.42232145733144,154.0,92,43,4106.0,273.0,59.0,214.0,97.0,210.0,210.0,97.0,880.0,195.0,1.0,90.0,552.0,7.0,7.0,552.0,0
56,-120.51414478217433,40.76268985045567,72.0,120,34,7683.0,275.0,-73.0,348.0,-25.0,188.0,188.0,-25.0,353.0,55.0,6.0,52.0,163.0,23.0,23.0,163.0,0
57,-122.16370475405236,38.71197184617352,163.0,117,41,5507.0,324.0,41.0,282.0,87.0,239.0,239.0,87.0,476.0,105.0,1.0,90.0,293.0,5.0,5.0,293.0,0
58,-120.118616123045,39.737638156401005,88.0,123,34,7715.0,288.0,-64.0,353.0,-11.0,202.0,202.0,-11.0,353.0,63.0,8.0,62.0,179.0,24.0,24.0,179.0,0
59,-120.5537700737413,39.53264200438405,73.0,124,37,7019.0,264.0,-68.0,332.0,-16.0,176.0,176.0,-16.0,1226.0,239.0,6.0,78.0,684.0,29.0,29.0,684.0,0
60,-121.87757435589197,39.79965314169553,178.0,122,36,7106.0,371.0,39.0,331.0,85.0,280.0,280.0,85.0,739.0,155.0,1.0,83.0,438.0,9.0,9.0,438.0,0
61,-116.86145632957634,35.38101418019158,176.0,126,35,8046.0,370.0,12.0,358.0,83.0,244.0,290.0,69.0,142.0,27.0,1.0,67.0,78.0,6.0,36.0,60.0,0
62,-121.34769425503212,40.984662519956906,112.0,121,34,7643.0,315.0,-31.0,347.0,15.0,227.0,227.0,15.0,518.0,82.0,4.0,60.0,241.0,19.0,19.0,241.0,0
63,-118.00761568308916,35.18598846220625,181.0,128,37,7310.0,367.0,29.0,337.0,96.0,238.0,286.0,86.0,132.0,25.0,1.0,81.0,73.0,4.0,10.0,70.0,0
64,-120.9939697046023,37.85267743547308,176.0,123,42,5507.0,338.0,50.0,288.0,101.0,252.0,252.0,101.0,366.0,69.0,1.0,83.0,198.0,3.0,3.0,198.0,0
65,-123.06531434033566,40.994287213832266,27.0,116,40,5863.0,199.0,-90.0,290.0,-46.0,105.0,114.0,-46.0,1249.0,218.0,7.0,73.0,649.0,40.0,47.0,649.0,0
66,-122.96478558671936,41.77032401320395,94.0,115,38,6214.0,271.0,-26.0,298.0,15.0,175.0,187.0,15.0,765.0,140.0,9.0,73.0,414.0,38.0,41.0,414.0,0
67,-115.11809061961026,34.24611054941148,243.0,130,36,7888.0,432.0,77.0,355.0,137.0,309.0,353.0,137.0,88.0,12.0,1.0,48.0,34.0,4.0,29.0,34.0,0
68,-121.50434823535026,39.0828316178919,180.0,123,39,6375.0,359.0,48.0,311.0,95.0,269.0,269.0,95.0,568.0,118.0,1.0,85.0,337.0,5.0,5.0,337.0,0
69,-115.27118988735998,34.78555399602276,217.0,129,35,8115.0,409.0,48.0,360.0,330.0,286.0,330.0,108.0,157.0,24.0,2.0,49.0,64.0,8.0,64.0,50.0,0
70,-121.27918077676502,41.57270860526586,96.0,119,34,7540.0,300.0,-42.0,342.0,12.0,212.0,212.0,1.0,367.0,48.0,6.0,44.0,139.0,28.0,28.0,135.0,0
71,-120.60914254836156,36.01489254047264,138.0,128,45,5088.0,295.0,12.0,282.0,80.0,205.0,210.0,69.0,361.0,73.0,1.0,91.0,215.0,3.0,3.0,205.0,0
72,-123.7841686771422,40.94634593343297,95.0,91,40,4597.0,228.0,3.0,224.0,40.0,155.0,163.0,38.0,1528.0,287.0,4.0,78.0,815.0,32.0,34.0,812.0,0
73,-121.62743010319714,36.64737560261694,154.0,93,47,3357.0,261.0,64.0,196.0,106.0,194.0,199.0,106.0,354.0,75.0,1.0,89.0,207.0,4.0,5.0,207.0,0
74,-119.33057466893776,34.258572661985255,184.0,90,43,4042.0,298.0,91.0,206.0,138.0,234.0,243.0,134.0,430.0,98.0,0.0,100.0,291.0,1.0,2.0,256.0,0
75,-121.40977174129272,40.17586214655487,63.0,122,37,6930.0,253.0,-74.0,327.0,-25.0,164.0,164.0,-25.0,1351.0,269.0,5.0,78.0,761.0,27.0,27.0,761.0,0
76,-117.3464466697939,36.82477372687197,171.0,116,31,8691.0,368.0,1.0,366.0,70.0,245.0,294.0,55.0,96.0,14.0,3.0,40.0,39.0,11.0,24.0,36.0,0
77,-123.56330923019216,40.06095450550693,128.0,100,40,5024.0,273.0,26.0,247.0,63.0,193.0,201.0,63.0,1524.0,316.0,2.0,86.0,913.0,16.0,24.0,913.0,0
78,-120.75632610862802,38.85732542097734,139.0,122,38,6504.0,319.0,4.0,314.0,54.0,233.0,233.0,54.0,1270.0,250.0,4.0,82.0,719.0,16.0,16.0,719.0,0
79,-123.47698868522622,41.86704237193622,91.0,103,40,5340.0,246.0,-13.0,259.0,25.0,161.0,172.0,25.0,1446.0,288.0,7.0,82.0,847.0,30.0,41.0,847.0,0
80,-120.55949055687736,41.37541860121985,100.0,117,33,7895.0,308.0,-43.0,351.0,8.0,221.0,221.0,0.0,290.0,38.0,5.0,44.0,111.0,21.0,21.0,111.0,0
81,-123.63069749628488,41.82418429541987,73.0,97,40,4922.0,215.0,-24.0,239.0,12.0,137.0,147.0,12.0,1986.0,409.0,6.0,87.0,1206.0,30.0,41.0,1206.0,0
82,-116.70855628021664,36.11329228086315,233.0,120,31,8928.0,434.0,56.0,378.0,160.0,311.0,357.0,112.0,103.0,18.0,1.0,58.0,52.0,7.0,24.0,36.0,0
83,-122.82095925480996,41.61086836019933,100.0,118,37,6527.0,284.0,-26.0,310.0,17.0,189.0,198.0,17.0,631.0,115.0,9.0,71.0,337.0,37.0,37.0,337.0,0
84,-118.64279136105372,37.04825775916847,8.0,118,37,6899.0,185.0,-133.0,318.0,-72.0,101.0,110.0,-79.0,533.0,99.0,11.0,70.0,286.0,34.0,34.0,268.0,0
85,-123.78926241385088,39.2859566060601,136.0,59,40,3067.0,220.0,72.0,148.0,97.0,173.0,180.0,97.0,1230.0,233.0,2.0,82.0,682.0,16.0,26.0,682.0,0
86,-123.33224720545375,39.65550189292288,113.0,101,40,5030.0,258.0,8.0,249.0,47.0,178.0,185.0,47.0,1397.0,262.0,2.0,84.0,771.0,15.0,21.0,771.0,0
87,-120.13543721360354,40.74248767121064,87.0,118,33,7997.0,293.0,-63.0,356.0,-15.0,207.0,207.0,-15.0,195.0,27.0,5.0,42.0,80.0,17.0,17.0,80.0,0
88,-121.50436856019172,40.150296723563066,81.0,122,37,6962.0,272.0,-56.0,328.0,-8.0,182.0,182.0,-8.0,1355.0,252.0,4.0,75.0,720.0,25.0,25.0,720.0,0
89,-117.78095422119893,34.38687210286036,103.0,127,42,5999.0,267.0,-32.0,300.0,32.0,180.0,190.0,25.0,505.0,104.0,2.0,91.0,301.0,7.0,11.0,294.0,0
90,-120.6894048663159,35.463461236239866,152.0,110,46,4256.0,282.0,44.0,238.0,94.0,205.0,212.0,94.0,485.0,106.0,0.0,94.0,305.0,1.0,2.0,305.0,0
91,-118.45060999309185,34.763973080963375,161.0,127,41,6288.0,331.0,23.0,307.0,89.0,243.0,253.0,81.0,295.0,60.0,1.0,90.0,179.0,3.0,7.0,161.0,0
92,-121.91462618427988,41.84498445532145,89.0,120,35,7196.0,288.0,-44.0,333.0,9.0,199.0,199.0,0.0,378.0,52.0,8.0,42.0,152.0,35.0,35.0,145.0,0
93,-115.65934845544749,34.00387595654047,211.0,132,38,7432.0,398.0,52.0,345.0,317.0,271.0,317.0,113.0,89.0,15.0,1.0,56.0,41.0,3.0,41.0,33.0,0
94,-121.87998727584689,41.66277401379896,86.0,121,35,7237.0,285.0,-49.0,335.0,-4.0,196.0,196.0,-4.0,477.0,71.0,7.0,54.0,208.0,30.0,30.0,208.0,0
95,-117.92312313854195,37.43829593716574,114.0,117,32,8333.0,310.0,-48.0,358.0,18.0,173.0,235.0,5.0,201.0,25.0,8.0,27.0,72.0,32.0,48.0,64.0,0
96,-117.43304783485884,35.77752142602719,181.0,122,34,8160.0,375.0,18.0,356.0,85.0,249.0,297.0,73.0,102.0,20.0,1.0,67.0,57.0,6.0,20.0,44.0,0
97,-117.02173149354422,33.43661737064158,156.0,119,44,5192.0,303.0,32.0,270.0,96.0,219.0,232.0,89.0,465.0,86.0,2.0,83.0,254.0,13.0,23.0,248.0,0
98,-117.4943133768774,34.018432210240576,193.0,123,42,5825.0,351.0,59.0,292.0,127.0,266.0,278.0,118.0,494.0,104.0,2.0,91.0,310.0,6.0,8.0,270.0,0
99,-117.77001002949544,35.31960451285841,173.0,127,36,7570.0,362.0,18.0,343.0,85.0,234.0,281.0,74.0,156.0,30.0,1.0,78.0,89.0,5.0,13.0,74.0,0
100,-119.422064484451,35.580079660553665,196.0,131,41,6326.0,372.0,55.0,317.0,125.0,279.0,288.0,115.0,157.0,30.0,0.0,82.0,89.0,2.0,2.0,77.0,0
101,-119.9649970981822,41.87245265760752,79.0,112,32,7970.0,286.0,-64.0,350.0,-22.0,201.0,201.0,-22.0,484.0,63.0,12.0,41.0,187.0,43.0,43.0,187.0,0
102,-121.56359541646208,36.97162019862988,153.0,103,47,3768.0,272.0,53.0,218.0,99.0,203.0,203.0,99.0,380.0,84.0,1.0,93.0,238.0,3.0,3.0,238.0,0
103,-123.61633629652506,38.895624938917095,129.0,53,40,2716.0,203.0,70.0,132.0,94.0,162.0,168.0,94.0,1116.0,213.0,3.0,84.0,629.0,14.0,23.0,629.0,0
104,-117.34395523382663,33.165791852507326,188.0,88,43,3908.0,299.0,96.0,203.0,144.0,232.0,246.0,139.0,287.0,56.0,1.0,87.0,164.0,4.0,5.0,155.0,0
105,-122.01923984845271,41.95075104774682,88.0,120,36,7098.0,286.0,-44.0,330.0,10.0,197.0,197.0,0.0,408.0,69.0,7.0,58.0,197.0,28.0,28.0,189.0,0
106,-122.2214196138807,41.24840426928984,103.0,122,36,7222.0,300.0,-35.0,336.0,11.0,211.0,211.0,11.0,1434.0,278.0,8.0,79.0,793.0,35.0,35.0,793.0,0
107,-120.7815010981869,35.36031406827941,162.0,99,46,3820.0,278.0,64.0,214.0,113.0,209.0,216.0,110.0,498.0,104.0,1.0,92.0,296.0,3.0,3.0,294.0,0
108,-121.72645681775649,36.48901129451546,139.0,86,48,3050.0,236.0,57.0,178.0,96.0,177.0,180.0,96.0,498.0,108.0,1.0,90.0,300.0,4.0,4.0,300.0,0
109,-120.3497091190283,41.66603256268831,78.0,115,33,7799.0,283.0,-63.0,347.0,-8.0,198.0,198.0,-20.0,542.0,72.0,12.0,44.0,210.0,41.0,41.0,208.0,0
110,-115.79328756522344,32.76589678110096,234.0,137,42,6521.0,412.0,87.0,324.0,149.0,280.0,329.0,149.0,96.0,16.0,1.0,58.0,46.0,3.0,24.0,46.0,0
111,-119.17335585498913,36.15178431976767,199.0,128,39,6807.0,381.0,56.0,325.0,120.0,299.0,299.0,113.0,301.0,59.0,0.0,84.0,163.0,2.0,2.0,163.0,0
112,-119.16525669262498,36.88023870021526,168.0,123,37,7043.0,353.0,25.0,328.0,80.0,273.0,273.0,79.0,602.0,126.0,1.0,86.0,351.0,4.0,4.0,350.0,0
113,-120.5084300255919,39.59416127733505,60.0,124,37,7043.0,251.0,-82.0,333.0,-30.0,163.0,163.0,-30.0,1199.0,225.0,8.0,75.0,642.0,35.0,35.0,642.0,0
114,-120.82911119741742,36.64060674918057,141.0,128,45,5118.0,299.0,14.0,285.0,81.0,208.0,211.0,70.0,312.0,63.0,1.0,88.0,181.0,3.0,3.0,176.0,0
115,-114.52476284945688,34.08101466640671,239.0,128,36,7857.0,423.0,71.0,351.0,133.0,306.0,348.0,133.0,110.0,17.0,1.0,57.0,49.0,3.0,36.0,49.0,0
116,-118.13273935906392,34.67109865144097,171.0,128,40,6437.0,343.0,30.0,313.0,97.0,255.0,264.0,88.0,200.0,40.0,1.0,87.0,118.0,5.0,9.0,110.0,0
117,-115.85972868299449,34.27286553876491,204.0,132,37,7548.0,393.0,44.0,349.0,311.0,265.0,311.0,104.0,104.0,14.0,1.0,51.0,44.0,4.0,44.0,36.0,0
118,-115.03963176866212,34.11777204562327,240.0,130,36,7803.0,428.0,75.0,352.0,136.0,306.0,350.0,136.0,89.0,13.0,1.0,54.0,39.0,3.0,27.0,39.0,0
119,-116.79577222296577,32.879502591765466,169.0,115,45,4809.0,310.0,53.0,257.0,124.0,227.0,241.0,109.0,459.0,89.0,2.0,85.0,259.0,9.0,15.0,235.0,0
120,-117.4258567023308,36.57128193872147,133.0,116,32,8266.0,324.0,-29.0,354.0,36.0,202.0,250.0,23.0,122.0,20.0,2.0,50.0,55.0,11.0,29.0,51.0,0
121,-122.74745775396345,41.502996177293824,75.0,119,38,6517.0,259.0,-52.0,311.0,-6.0,173.0,173.0,-7.0,722.0,126.0,11.0,67.0,371.0,45.0,45.0,371.0,0
122,-115.61422799012512,35.31431562578918,151.0,128,35,8040.0,342.0,-15.0,358.0,264.0,220.0,264.0,43.0,281.0,37.0,4.0,41.0,109.0,18.0,109.0,87.0,0
123,-117.37778885887808,36.7805123704736,138.0,116,32,8414.0,331.0,-26.0,358.0,40.0,209.0,258.0,26.0,114.0,16.0,3.0,40.0,47.0,13.0,29.0,40.0,0
124,-121.15169263763532,35.61118611414477,160.0,93,47,3457.0,267.0,70.0,197.0,115.0,202.0,208.0,113.0,498.0,104.0,0.0,94.0,304.0,2.0,2.0,304.0,0
